geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
127382,zh-CN,AS,亚洲,IR,伊朗,07,,,,,,Asia/Tehran,0
128226,zh-CN,AS,亚洲,IR,伊朗,05,克爾曼沙汗省,,,克尔曼沙赫,,Asia/Tehran,0
128234,zh-CN,AS,亚洲,IR,伊朗,08,克爾曼省,,,克尔曼,,Asia/Tehran,0
128747,zh-CN,AS,亚洲,IR,伊朗,30,厄尔布尔士省,,,卡拉季,,Asia/Tehran,0
130758,zh-CN,AS,亚洲,IR,伊朗,,,,,,,Asia/Tehran,0
131850,zh-CN,AS,亚洲,IR,伊朗,15,洛雷斯坦省,,,,,Asia/Tehran,0
132142,zh-CN,AS,亚洲,IR,伊朗,13,,,,,,Asia/Tehran,0
132144,zh-CN,AS,亚洲,IR,伊朗,13,,,,,,Asia/Tehran,0
133352,zh-CN,AS,亚洲,IR,伊朗,15,洛雷斯坦省,,,,,Asia/Tehran,0
134762,zh-CN,AS,亚洲,IR,伊朗,14,,,,,,Asia/Tehran,0
134766,zh-CN,AS,亚洲,IR,伊朗,07,,,,,,Asia/Tehran,0
139817,zh-CN,AS,亚洲,IR,伊朗,18,,,,,,Asia/Tehran,0
140463,zh-CN,AS,亚洲,IR,伊朗,29,,,,,,Asia/Tehran,0
142363,zh-CN,AS,亚洲,IR,伊朗,02,,,,,,Asia/Tehran,0
142550,zh-CN,AS,亚洲,IR,伊朗,04,,,,,,Asia/Tehran,0
143127,zh-CN,AS,亚洲,IR,伊朗,00,中央省,,,,,Asia/Tehran,0
144448,zh-CN,AS,亚洲,IR,伊朗,06,,,,阿瓦士,,Asia/Tehran,0
145531,zh-CN,AF,非洲,AO,安哥拉,LSU,,,,,,Africa/Luanda,0
145701,zh-CN,AF,非洲,AO,安哥拉,LSU,,,,,,Africa/Luanda,0
145724,zh-CN,AF,非洲,AO,安哥拉,LNO,,,,,,Africa/Luanda,0
145952,zh-CN,EU,欧洲,CY,塞浦路斯,02,利马索尔区,,,,,Asia/Nicosia,1
145963,zh-CN,EU,欧洲,CY,塞浦路斯,02,利马索尔区,,,,,Asia/Nicosia,1
146054,zh-CN,EU,欧洲,CY,塞浦路斯,01,尼科西亚区,,,,,Asia/Nicosia,1
146110,zh-CN,EU,欧洲,CY,塞浦路斯,03,拉纳卡区,,,,,Asia/Nicosia,1
146137,zh-CN,EU,欧洲,CY,塞浦路斯,05,帕福斯区,,,,,Asia/Nicosia,1
146150,zh-CN,EU,欧洲,CY,塞浦路斯,02,利马索尔区,,,,,Asia/Nicosia,1
146209,zh-CN,EU,欧洲,CY,塞浦路斯,04,法马古斯塔区,,,,,Asia/Famagusta,1
146213,zh-CN,EU,欧洲,CY,塞浦路斯,05,帕福斯区,,,,,Asia/Nicosia,1
146214,zh-CN,EU,欧洲,CY,塞浦路斯,05,帕福斯区,,,,,Asia/Nicosia,1
146260,zh-CN,EU,欧洲,CY,塞浦路斯,01,尼科西亚区,,,,,Asia/Nicosia,1
146267,zh-CN,EU,欧洲,CY,塞浦路斯,01,尼科西亚区,,,,,Asia/Nicosia,1
146268,zh-CN,EU,欧洲,CY,塞浦路斯,01,尼科西亚区,,,尼科西亚,,Asia/Nicosia,1
146286,zh-CN,EU,欧洲,CY,塞浦路斯,01,尼科西亚区,,,,,Asia/Nicosia,1
146305,zh-CN,EU,欧洲,CY,塞浦路斯,02,利马索尔区,,,,,Asia/Nicosia,1
146384,zh-CN,EU,欧洲,CY,塞浦路斯,02,利马索尔区,,,利马索尔,,Asia/Nicosia,1
146400,zh-CN,EU,欧洲,CY,塞浦路斯,03,拉纳卡区,,,拉纳卡,,Asia/Nicosia,1
146403,zh-CN,EU,欧洲,CY,塞浦路斯,06,凯里尼亚区,,,,,Asia/Famagusta,1
146411,zh-CN,EU,欧洲,CY,塞浦路斯,06,凯里尼亚区,,,,,Asia/Famagusta,1
146412,zh-CN,EU,欧洲,CY,塞浦路斯,06,凯里尼亚区,,,凯里尼亚,,Asia/Famagusta,1
146516,zh-CN,EU,欧洲,CY,塞浦路斯,02,利马索尔区,,,,,Asia/Nicosia,1
146523,zh-CN,EU,欧洲,CY,塞浦路斯,01,尼科西亚区,,,,,Asia/Nicosia,1
146615,zh-CN,EU,欧洲,CY,塞浦路斯,04,法马古斯塔区,,,,,Asia/Famagusta,1
146617,zh-CN,EU,欧洲,CY,塞浦路斯,04,法马古斯塔区,,,法马古斯塔,,Asia/Famagusta,1
146619,zh-CN,EU,欧洲,CY,塞浦路斯,01,尼科西亚区,,,,,Asia/Nicosia,1
146637,zh-CN,EU,欧洲,CY,塞浦路斯,01,尼科西亚区,,,,,Asia/Nicosia,1
146669,zh-CN,EU,欧洲,CY,塞浦路斯,,,,,,,Asia/Nicosia,1
146732,zh-CN,EU,欧洲,CY,塞浦路斯,01,尼科西亚区,,,,,Asia/Nicosia,1
146735,zh-CN,EU,欧洲,CY,塞浦路斯,02,利马索尔区,,,,,Asia/Nicosia,1
146748,zh-CN,EU,欧洲,CY,塞浦路斯,04,法马古斯塔区,,,,,Asia/Famagusta,1
146796,zh-CN,EU,欧洲,CY,塞浦路斯,03,拉纳卡区,,,,,Asia/Nicosia,1
147269,zh-CN,AS,亚洲,AZ,阿塞拜疆,SAL,,,,,,Asia/Baku,0
147288,zh-CN,AS,亚洲,AZ,阿塞拜疆,SAT,,,,,,Asia/Baku,0
147429,zh-CN,AS,亚洲,AZ,阿塞拜疆,NX,纳希切万自治共和国,BAB,,,,Asia/Baku,0
